# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
0	92.21	0.00	1	2073600	100.00
1	123.15	30.94	1	2073600	100.00
2	463.16	340.01	1	2073600	100.00
3	817.32	354.16	1	2073600	100.00
4	1006.75	189.43	1	2073600	100.00
5	1026.11	19.36	1	2073600	100.00
6	1035.22	9.12	1	2073600	100.00
7	1218.15	182.92	1	2073600	100.00
8	1528.79	310.64	1	2073600	100.00
9	1882.94	354.15	1	2073600	100.00
10	1950.96	68.02	1	2073600	100.00
11	2265.26	314.30	1	2073600	100.00
12	2592.12	326.85	1	2073600	100.00
13	2915.92	323.80	1	2073600	100.00
14	2954.83	38.92	1	2073600	100.00
15	3318.03	363.20	1	2073600	100.00
16	3654.51	336.48	1	2073600	100.00
17	3871.57	217.06	1	2073600	100.00
18	4178.80	307.22	1	2073600	100.00
19	4185.26	6.47	1	2073600	100.00
20	4846.19	660.92	1	2073600	100.00
