# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
0	12.98	0.00	1	3686400	100.00
1	17.83	4.85	1	3686400	100.00
2	21.11	3.29	1	3686400	100.00
3	24.36	3.25	1	3686400	100.00
4	27.55	3.19	1	3686400	100.00
5	31.13	3.58	1	3686400	100.00
6	34.29	3.16	1	3686400	100.00
7	37.73	3.43	1	3686400	100.00
8	41.01	3.28	1	3686400	100.00
9	44.38	3.37	1	3686400	100.00
10	47.63	3.25	1	3686400	100.00
11	51.14	3.50	1	3686400	100.00
12	54.21	3.08	1	3686400	100.00
13	57.66	3.44	1	3686400	100.00
14	61.05	3.39	1	3686400	100.00
15	64.45	3.40	1	3686400	100.00
16	67.79	3.35	1	3686400	100.00
17	71.13	3.33	1	3686400	100.00
18	74.41	3.28	1	3686400	100.00
19	77.67	3.26	1	3686400	100.00
20	81.06	3.39	1	3686400	100.00
21	84.48	3.42	1	3686400	100.00
22	87.54	3.05	1	3686400	100.00
23	91.08	3.54	1	3686400	100.00
24	94.43	3.35	1	3686400	100.00
25	97.70	3.28	1	3686400	100.00
26	100.99	3.29	1	3686400	100.00
27	104.47	3.48	1	3686400	100.00
28	107.53	3.06	1	3686400	100.00
29	111.08	3.55	1	3686400	100.00
30	114.38	3.30	1	3686400	100.00
31	117.64	3.26	1	3686400	100.00
32	120.96	3.32	1	3686400	100.00
33	124.46	3.50	1	3686400	100.00
34	127.62	3.15	1	3686400	100.00
35	131.10	3.49	1	3686400	100.00
36	134.19	3.09	1	3686400	100.00
37	137.64	3.45	1	3686400	100.00
38	140.97	3.33	1	3686400	100.00
39	144.50	3.53	1	3686400	100.00
40	147.56	3.06	1	3686400	100.00
41	151.17	3.62	1	3686400	100.00
42	154.17	3.00	1	3686400	100.00
43	157.63	3.45	1	3686400	100.00
44	160.98	3.35	1	3686400	100.00
45	164.52	3.54	1	3686400	100.00
46	167.63	3.11	1	3686400	100.00
47	170.96	3.33	1	3686400	100.00
48	174.45	3.49	1	3686400	100.00
49	177.68	3.23	1	3686400	100.00
50	180.97	3.29	1	3686400	100.00
51	184.38	3.41	1	3686400	100.00
52	187.90	3.53	1	3686400	100.00
53	191.11	3.21	1	3686400	100.00
54	194.39	3.28	1	3686400	100.00
55	197.78	3.40	1	3686400	100.00
56	200.89	3.11	1	3686400	100.00
57	204.35	3.46	1	3686400	100.00
58	207.63	3.27	1	3686400	100.00
59	211.04	3.41	1	3686400	100.00
60	214.41	3.37	1	3686400	100.00
61	217.66	3.24	1	3686400	100.00
62	220.92	3.26	1	3686400	100.00
63	224.33	3.40	1	3686400	100.00
64	227.79	3.47	1	3686400	100.00
65	231.25	3.46	1	3686400	100.00
66	234.33	3.09	1	3686400	100.00
67	237.64	3.31	1	3686400	100.00
68	240.85	3.20	1	3686400	100.00
69	244.55	3.70	1	3686400	100.00
70	247.76	3.21	1	3686400	100.00
71	250.97	3.21	1	3686400	100.00
72	254.20	3.22	1	3686400	100.00
73	257.81	3.62	1	3686400	100.00
74	260.88	3.06	1	3686400	100.00
75	264.47	3.59	1	3686400	100.00
76	267.64	3.18	1	3686400	100.00
77	270.98	3.34	1	3686400	100.00
78	274.37	3.38	1	3686400	100.00
79	277.68	3.31	1	3686400	100.00
80	280.90	3.22	1	3686400	100.00
81	284.36	3.46	1	3686400	100.00
82	287.87	3.50	1	3686400	100.00
83	290.99	3.12	1	3686400	100.00
84	294.45	3.46	1	3686400	100.00
85	297.82	3.37	1	3686400	100.00
86	300.96	3.14	1	3686400	100.00
87	304.38	3.42	1	3686400	100.00
88	307.71	3.33	1	3686400	100.00
89	311.08	3.37	1	3686400	100.00
90	314.22	3.14	1	3686400	100.00
91	317.88	3.66	1	3686400	100.00
92	321.12	3.24	1	3686400	100.00
93	324.44	3.32	1	3686400	100.00
94	327.69	3.25	1	3686400	100.00
95	331.01	3.32	1	3686400	100.00
96	334.29	3.28	1	3686400	100.00
97	337.87	3.57	1	3686400	100.00
98	340.88	3.02	1	3686400	100.00
99	344.31	3.43	1	3686400	100.00
100	347.89	3.58	1	3686400	100.00
101	352.86	4.96	1	3686400	100.00
102	357.90	5.05	1	3686400	100.00
103	361.35	3.44	1	3686400	100.00
104	364.51	3.16	1	3686400	100.00
105	367.67	3.16	1	3686400	100.00
