# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
0	12.98	0.00	0	0	0.00
1	20.21	7.23	0	0	0.00
2	28.17	7.95	0	0	0.00
3	55.77	27.61	0	0	0.00
4	72.14	16.37	0	0	0.00
5	79.57	7.43	0	0	0.00
6	86.67	7.10	0	0	0.00
7	93.97	7.30	0	0	0.00
8	101.32	7.35	0	0	0.00
9	108.92	7.60	0	0	0.00
10	116.28	7.36	0	0	0.00
11	123.53	7.25	0	0	0.00
12	130.81	7.29	0	0	0.00
13	138.35	7.53	0	0	0.00
14	147.71	9.36	0	0	0.00
15	159.91	12.20	0	0	0.00
16	167.03	7.12	0	0	0.00
17	174.62	7.59	0	0	0.00
18	182.13	7.52	0	0	0.00
19	189.63	7.49	0	0	0.00
20	196.78	7.15	0	0	0.00
21	204.09	7.31	0	0	0.00
22	211.58	7.49	0	0	0.00
23	218.99	7.41	0	0	0.00
24	226.61	7.63	0	0	0.00
25	233.74	7.12	0	0	0.00
26	241.38	7.64	0	0	0.00
27	247.44	6.07	0	0	0.00
28	253.73	6.29	0	0	0.00
29	259.90	6.18	0	0	0.00
30	268.70	8.79	0	0	0.00
31	275.09	6.39	0	0	0.00
32	281.55	6.46	0	0	0.00
33	287.70	6.14	0	0	0.00
34	293.89	6.19	0	0	0.00
35	299.70	5.82	0	0	0.00
36	305.97	6.27	0	0	0.00
37	311.95	5.98	0	0	0.00
38	318.39	6.44	0	0	0.00
39	324.58	6.19	0	0	0.00
40	330.87	6.29	0	0	0.00
41	338.81	7.94	0	0	0.00
42	345.28	6.46	0	0	0.00
43	351.60	6.32	0	0	0.00
44	359.27	7.67	0	0	0.00
45	368.47	9.20	0	0	0.00
46	375.68	7.21	0	0	0.00
47	385.22	9.54	0	0	0.00
48	391.40	6.18	0	0	0.00
49	397.91	6.51	0	0	0.00
50	404.08	6.17	0	0	0.00
51	410.07	5.99	0	0	0.00
52	418.19	8.13	0	0	0.00
53	424.72	6.52	0	0	0.00
54	430.80	6.09	0	0	0.00
55	436.82	6.02	0	0	0.00
56	442.53	5.72	0	0	0.00
57	447.02	4.48	0	0	0.00
58	448.75	1.73	0	0	0.00
59	450.68	1.93	0	0	0.00
60	454.09	3.41	0	0	0.00
61	457.52	3.43	0	0	0.00
62	460.70	3.18	0	0	0.00
63	464.07	3.37	0	0	0.00
64	467.43	3.37	0	0	0.00
