# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
0	4.97	0.00	0	0	0.00
1	6.73	1.76	0	0	0.00
2	22.99	16.26	0	0	0.00
3	39.55	16.56	0	0	0.00
4	56.29	16.74	0	0	0.00
5	73.04	16.75	0	0	0.00
6	89.55	16.51	0	0	0.00
7	106.30	16.75	0	0	0.00
8	123.29	16.99	0	0	0.00
9	139.74	16.45	0	0	0.00
10	156.93	17.18	0	0	0.00
11	173.11	16.18	0	0	0.00
12	250.91	77.80	0	0	0.00
13	360.37	109.46	0	0	0.00
14	431.35	70.98	0	0	0.00
15	453.41	22.06	0	0	0.00
16	455.17	1.76	0	0	0.00
17	456.64	1.47	0	0	0.00
18	472.84	16.20	0	0	0.00
19	489.56	16.73	0	0	0.00
20	514.13	24.56	0	0	0.00
21	527.52	13.39	0	0	0.00
22	539.82	12.30	0	0	0.00
23	575.29	35.46	0	0	0.00
24	578.83	3.54	0	0	0.00
25	589.64	10.81	0	0	0.00
26	606.33	16.68	0	0	0.00
27	622.89	16.56	0	0	0.00
28	639.55	16.66	0	0	0.00
29	656.14	16.58	0	0	0.00
30	672.88	16.75	0	0	0.00
31	696.80	23.92	0	0	0.00
32	706.21	9.41	0	0	0.00
33	722.87	16.66	0	0	0.00
34	739.56	16.69	0	0	0.00
35	756.26	16.71	0	0	0.00
36	772.90	16.63	0	0	0.00
37	789.53	16.64	0	0	0.00
38	818.90	29.37	0	0	0.00
39	823.05	4.15	0	0	0.00
40	891.69	68.63	0	0	0.00
41	957.02	65.33	0	0	0.00
42	958.81	1.79	0	0	0.00
43	1028.47	69.66	0	0	0.00
44	1050.46	21.98	0	0	0.00
45	1052.16	1.70	0	0	0.00
46	1056.21	4.05	0	0	0.00
47	1073.00	16.79	0	0	0.00
48	1089.46	16.46	0	0	0.00
49	1106.15	16.69	0	0	0.00
50	1122.78	16.63	0	0	0.00
51	1139.67	16.89	0	0	0.00
52	1172.46	32.79	0	0	0.00
53	1174.10	1.64	0	0	0.00
54	1189.52	15.42	0	0	0.00
55	1206.36	16.84	0	0	0.00
56	1222.87	16.51	0	0	0.00
57	1239.52	16.65	0	0	0.00
58	1256.19	16.67	0	0	0.00
59	1293.58	37.39	0	0	0.00
60	1295.06	1.47	0	0	0.00
61	1306.11	11.06	0	0	0.00
62	1322.81	16.70	0	0	0.00
63	1339.45	16.64	0	0	0.00
64	1356.12	16.67	0	0	0.00
65	1372.78	16.67	0	0	0.00
66	1389.45	16.67	0	0	0.00
67	1415.53	26.08	0	0	0.00
68	1422.78	7.25	0	0	0.00
69	1440.46	17.67	0	0	0.00
70	1456.12	15.66	0	0	0.00
71	1472.90	16.79	0	0	0.00
72	1489.69	16.78	0	0	0.00
73	1506.20	16.52	0	0	0.00
74	1537.00	30.80	0	0	0.00
75	1539.59	2.59	0	0	0.00
76	1609.82	70.24	0	0	0.00
77	1783.62	173.79	0	0	0.00
78	1805.82	22.20	0	0	0.00
79	1807.42	1.60	0	0	0.00
80	1822.91	15.49	0	0	0.00
81	1839.75	16.84	0	0	0.00
82	1899.53	59.78	0	0	0.00
83	1901.55	2.03	0	0	0.00
84	1906.12	4.57	0	0	0.00
85	1922.92	16.80	0	0	0.00
86	1939.66	16.74	0	0	0.00
87	1956.24	16.57	0	0	0.00
88	1972.81	16.58	0	0	0.00
89	1989.61	16.79	0	0	0.00
90	2006.25	16.65	0	0	0.00
91	2022.80	16.54	0	0	0.00
92	2039.69	16.89	0	0	0.00
93	2056.33	16.64	0	0	0.00
94	2072.99	16.66	0	0	0.00
95	2089.55	16.55	0	0	0.00
96	2106.23	16.68	0	0	0.00
97	2122.99	16.76	0	0	0.00
98	2139.55	16.56	0	0	0.00
99	2156.30	16.75	0	0	0.00
100	2173.02	16.72	0	0	0.00
101	2189.48	16.46	0	0	0.00
102	2206.31	16.82	0	0	0.00
103	2223.01	16.70	0	0	0.00
104	2239.59	16.58	0	0	0.00
105	2256.32	16.74	0	0	0.00
106	2272.86	16.54	0	0	0.00
107	2289.52	16.66	0	0	0.00
108	2306.34	16.81	0	0	0.00
109	2322.84	16.50	0	0	0.00
110	2339.48	16.64	0	0	0.00
111	2356.30	16.82	0	0	0.00
112	2372.88	16.58	0	0	0.00
113	2389.64	16.76	0	0	0.00
114	2406.34	16.70	0	0	0.00
115	2422.96	16.62	0	0	0.00
116	2439.67	16.71	0	0	0.00
117	2456.17	16.50	0	0	0.00
118	2472.83	16.66	0	0	0.00
119	2489.49	16.65	0	0	0.00
120	2506.19	16.70	0	0	0.00
121	2522.92	16.73	0	0	0.00
122	2539.69	16.77	0	0	0.00
123	2556.23	16.54	0	0	0.00
124	2572.97	16.74	0	0	0.00
125	2589.48	16.51	0	0	0.00
126	2606.25	16.77	0	0	0.00
127	2623.01	16.76	0	0	0.00
128	2639.57	16.56	0	0	0.00
129	2656.21	16.64	0	0	0.00
130	2672.90	16.69	0	0	0.00
131	2689.57	16.67	0	0	0.00
132	2706.13	16.56	0	0	0.00
133	2723.01	16.88	0	0	0.00
134	2739.65	16.64	0	0	0.00
135	2756.34	16.70	0	0	0.00
136	2772.80	16.45	0	0	0.00
137	2789.60	16.80	0	0	0.00
138	2806.39	16.79	0	0	0.00
139	2822.91	16.53	0	0	0.00
140	2839.51	16.60	0	0	0.00
141	2856.35	16.83	0	0	0.00
142	2872.96	16.61	0	0	0.00
143	2889.53	16.57	0	0	0.00
144	2906.23	16.70	0	0	0.00
145	2922.90	16.67	0	0	0.00
146	2939.62	16.72	0	0	0.00
147	2956.33	16.71	0	0	0.00
148	2972.93	16.60	0	0	0.00
149	2989.69	16.76	0	0	0.00
150	3006.22	16.53	0	0	0.00
151	3022.97	16.76	0	0	0.00
152	3039.70	16.72	0	0	0.00
153	3056.23	16.54	0	0	0.00
154	3073.02	16.79	0	0	0.00
155	3089.73	16.71	0	0	0.00
156	3106.27	16.54	0	0	0.00
157	3123.06	16.78	0	0	0.00
158	3139.56	16.50	0	0	0.00
159	3157.95	18.40	0	0	0.00
160	3173.01	15.05	0	0	0.00
161	3189.56	16.55	0	0	0.00
162	3206.32	16.76	0	0	0.00
163	3223.12	16.80	0	0	0.00
164	3239.58	16.46	0	0	0.00
165	3256.18	16.59	0	0	0.00
166	3273.06	16.88	0	0	0.00
167	3289.48	16.42	0	0	0.00
168	3306.18	16.70	0	0	0.00
169	3322.91	16.72	0	0	0.00
170	3339.48	16.57	0	0	0.00
171	3356.36	16.88	0	0	0.00
172	3372.88	16.53	0	0	0.00
173	3389.65	16.77	0	0	0.00
174	3406.38	16.73	0	0	0.00
175	3422.90	16.52	0	0	0.00
176	3439.61	16.71	0	0	0.00
177	3456.37	16.76	0	0	0.00
178	3472.99	16.62	0	0	0.00
179	3489.71	16.72	0	0	0.00
180	3506.25	16.54	0	0	0.00
181	3522.98	16.72	0	0	0.00
182	3539.57	16.60	0	0	0.00
183	3556.26	16.69	0	0	0.00
184	3573.00	16.74	0	0	0.00
185	3589.87	16.87	0	0	0.00
186	3606.61	16.74	0	0	0.00
187	3623.17	16.56	0	0	0.00
188	3639.69	16.52	0	0	0.00
189	3656.40	16.71	0	0	0.00
190	3673.25	16.85	0	0	0.00
191	3689.89	16.64	0	0	0.00
192	3706.45	16.55	0	0	0.00
193	3723.10	16.65	0	0	0.00
194	3739.78	16.68	0	0	0.00
195	3756.43	16.65	0	0	0.00
196	3773.10	16.67	0	0	0.00
197	3789.88	16.78	0	0	0.00
198	3806.65	16.77	0	0	0.00
199	3823.06	16.41	0	0	0.00
200	3839.73	16.67	0	0	0.00
201	3856.40	16.67	0	0	0.00
202	3873.13	16.72	0	0	0.00
203	3889.74	16.61	0	0	0.00
204	3906.44	16.71	0	0	0.00
205	3923.20	16.75	0	0	0.00
206	3939.95	16.76	0	0	0.00
207	3956.41	16.45	0	0	0.00
208	3973.13	16.73	0	0	0.00
209	3989.78	16.64	0	0	0.00
210	4006.50	16.73	0	0	0.00
211	4023.11	16.61	0	0	0.00
212	4039.78	16.66	0	0	0.00
213	4056.48	16.71	0	0	0.00
214	4073.23	16.75	0	0	0.00
215	4089.90	16.67	0	0	0.00
216	4106.51	16.61	0	0	0.00
217	4123.24	16.73	0	0	0.00
218	4139.99	16.75	0	0	0.00
219	4156.51	16.52	0	0	0.00
220	4173.15	16.64	0	0	0.00
221	4189.85	16.71	0	0	0.00
222	4206.51	16.66	0	0	0.00
223	4223.22	16.71	0	0	0.00
224	4239.99	16.77	0	0	0.00
225	4256.54	16.55	0	0	0.00
226	4273.14	16.60	0	0	0.00
227	4289.84	16.70	0	0	0.00
228	4306.59	16.75	0	0	0.00
